Estrazione del 2022-03-24
idImpianto;descCarburante;prezzo;isSelf;dtComu
6492;Hi-Q Diesel;1.644;1;22/03/2022 17:18:54
6612;Hi-Q Diesel;1.669;1;22/03/2022 20:09:53
6484;Hi-Q Diesel;1.674;1;22/03/2022 17:15:04
6503;Hi-Q Diesel;1.676;1;22/03/2022 17:22:44
6632;Hi-Q Diesel;1.669;1;23/03/2022 02:24:54
6463;Hi-Q Diesel;1.649;1;24/03/2022 01:13:42
6460;Hi-Q Diesel;1.705;1;22/03/2022 16:56:30
6610;Hi-Q Diesel;1.629;1;23/03/2022 11:07:31
6461;Hi-Q Diesel;1.666;1;23/03/2022 02:24:35
6422;Hi-Q Diesel;1.653;1;22/03/2022 16:24:28
6532;Hi-Q Diesel;1.679;1;22/03/2022 17:28:23
6465;Hi-Q Diesel;1.689;1;22/03/2022 16:58:32
6683;Hi-Q Diesel;1.755;1;24/03/2022 01:14:49
6471;Hi-Q Diesel;1.698;1;22/03/2022 16:59:21
6832;Hi-Q Diesel;1.732;1;23/03/2022 02:24:39
10186;Hi-Q Diesel;1.714;1;24/03/2022 01:13:46
6702;Hi-Q Diesel;1.709;1;22/03/2022 17:39:23
6670;Hi-Q Diesel;1.756;1;22/03/2022 17:39:01
6653;Hi-Q Diesel;1.665;1;22/03/2022 17:38:35
6742;Hi-Q Diesel;1.709;1;22/03/2022 20:10:19
6462;Hi-Q Diesel;1.669;1;24/03/2022 01:13:42
6526;Hi-Q Diesel;1.658;1;22/03/2022 17:27:03
6389;Hi-Q Diesel;1.757;1;24/03/2022 01:12:43
6533;Hi-Q Diesel;1.694;1;23/03/2022 02:24:47
6464;Hi-Q Diesel;1.689;1;22/03/2022 16:58:27
6425;Hi-Q Diesel;1.728;1;24/03/2022 01:13:27
6530;Hi-Q Diesel;1.669;1;24/03/2022 01:14:03
6417;Hi-Q Diesel;1.687;1;22/03/2022 16:21:43
6577;Hi-Q Diesel;1.699;1;22/03/2022 17:35:44
6777;Hi-Q Diesel;1.739;1;24/03/2022 01:15:07
6441;Hi-Q Diesel;1.719;1;22/03/2022 16:40:26
6393;Hi-Q Diesel;1.685;1;22/03/2022 15:50:03
6721;Hi-Q Diesel;1.628;1;22/03/2022 20:10:09
6561;Hi-Q Diesel;1.539;1;22/03/2022 17:35:11
11954;Hi-Q Diesel;1.488;1;22/03/2022 17:23:40
11954;HiQ Perform+;1.634;1;22/03/2022 17:23:40
6587;Hi-Q Diesel;1.629;1;23/03/2022 02:24:51
7539;Blue Super;1.781;0;08/01/2022 11:15:59
7539;Blue Super;1.701;1;08/01/2022 11:15:59
29720;Hi-Q Diesel;1.619;1;22/03/2022 16:51:55
11791;Hi-Q Diesel;1.617;1;23/03/2022 02:24:34
11791;HiQ Perform+;1.797;1;23/03/2022 02:24:34
16668;Blue Diesel;1.708;0;24/03/2022 07:08:57
11290;Hi-Q Diesel;1.487;1;12/03/2022 08:42:32
11290;Hi-Q Diesel;1.487;0;12/03/2022 08:42:32
14629;Benzina WR 100;1.699;1;23/03/2022 19:20:19
11454;Hi-Q Diesel;1.597;1;24/03/2022 01:13:04
11454;HiQ Perform+;1.799;1;24/03/2022 01:13:04
4595;Gasolio Alpino;1.471;1;24/03/2022 06:55:51
13220;Benzina WR 100;1.717;0;23/03/2022 19:02:18
6848;Benzina WR 100;1.779;0;23/03/2022 17:38:05
6413;Hi-Q Diesel;1.488;1;24/03/2022 01:13:19
31546;Blue Diesel;1.584;0;23/12/2021 07:34:30
19989;Gasolio Gelo;1.305;0;23/03/2022 14:42:18
19989;Gasolio Gelo;1.305;1;23/03/2022 14:42:18
4595;Blue Diesel;1.234;1;24/03/2022 06:55:51
13104;Benzina Plus 98;1.528;0;22/03/2022 15:57:06
13104;Benzina Plus 98;1.528;1;22/03/2022 15:57:06
31606;Gasolio;1.379;0;24/03/2022 00:18:08
20559;Benzina WR 100;1.609;0;23/03/2022 14:06:16
31606;Benzina;1.559;0;24/03/2022 00:18:08
11891;Hi-Q Diesel;1.599;1;22/03/2022 17:06:28
7261;GPL;0.649;0;23/03/2022 07:19:05
35283;Benzina speciale;1.500;1;10/03/2022 17:09:45
29108;Blue Super;1.000;0;14/03/2022 07:28:09
29108;Blue Super;1.000;1;14/03/2022 07:28:09
9302;Benzina WR 100;1.539;0;24/03/2022 07:01:01
9302;Benzina WR 100;1.539;1;24/03/2022 07:01:01
6391;Gasolio artico;1.309;1;24/03/2022 01:12:47
28053;Benzina;1.738;0;07/01/2022 09:12:15
11568;HiQ Perform+;1.767;1;22/03/2022 16:59:40
37479;Blue Diesel;1.479;1;22/03/2022 19:04:53
37479;Blue Diesel;1.649;0;22/03/2022 19:04:53
3716;Gasolio Premium;1.552;1;22/03/2022 16:51:27
23392;Blue Super;0.100;0;10/03/2022 08:46:38
23392;Blue Super;0.100;1;10/03/2022 08:46:38
21208;Benzina;1.629;0;23/03/2022 20:32:12
21208;Gasolio;1.499;0;23/03/2022 20:32:12
7588;Benzina WR 100;1.849;1;24/03/2022 06:52:08
6137;Blue Super;1.111;0;11/03/2022 10:37:31
6137;Blue Super;1.111;1;11/03/2022 10:37:31
38150;GPL;0.599;0;23/03/2022 23:05:36
10283;Benzina;1.630;0;31/12/2021 11:48:29
10283;Gasolio;1.460;0;31/12/2021 11:48:29
38722;Hi-Q Diesel;1.549;1;10/03/2022 21:28:44
38811;Blue Diesel;1.427;0;23/03/2022 10:04:51
10876;Gasolio;1.494;0;09/03/2022 09:00:38
10876;Gasolio;1.329;1;09/03/2022 09:00:38
10876;Benzina;1.479;1;09/03/2022 09:00:38
10876;Benzina;1.644;0;09/03/2022 09:00:38
7981;Blue Diesel;1.111;1;23/09/2021 07:31:26
28053;Benzina;1.618;1;07/01/2022 09:12:15
28053;Gasolio;1.448;1;07/01/2022 09:12:15
3888;HiQ Perform+;2.268;0;23/03/2022 15:01:53
3888;Hi-Q Diesel;2.219;0;23/03/2022 15:01:53
11591;Hi-Q Diesel;1.669;1;22/03/2022 17:37:00
11591;HiQ Perform+;1.774;1;22/03/2022 17:37:00
27119;Blue Super;1.879;0;09/11/2021 18:46:11
27119;Blue Super;1.699;1;09/11/2021 18:46:11
3654;Hi-Q Diesel;1.969;0;21/03/2022 09:30:08
3654;HiQ Perform+;1.969;1;21/03/2022 09:30:08
3654;HiQ Perform+;1.969;0;21/03/2022 09:30:08
3654;Hi-Q Diesel;1.969;1;21/03/2022 09:30:08
41594;GPL;0.639;0;24/03/2022 07:18:20
26744;Benzina;1.579;0;24/03/2022 00:16:10
26744;Gasolio;1.459;0;24/03/2022 00:16:10
20026;Benzina;1.729;1;01/02/2022 11:27:01
11937;HiQ Perform+;1.979;1;24/03/2022 07:08:15
18456;Benzina WR 100;2.409;0;23/03/2022 18:34:12
18456;Benzina WR 100;2.409;1;23/03/2022 18:34:12
35802;Benzina;1.639;1;10/03/2022 11:37:29
35802;Gasolio;1.569;0;10/03/2022 11:37:29
35802;Gasolio;1.569;1;10/03/2022 11:37:29
35802;Benzina;1.639;0;10/03/2022 11:37:29
16637;Excellium Diesel;1.677;0;08/03/2022 10:19:28
22646;Benzina WR 100;1.829;0;24/03/2022 07:10:16
27403;Blue Super;0.001;1;01/03/2022 07:30:01
43518;V-Power;1.111;0;08/03/2022 18:00:17
43518;V-Power;1.111;1;08/03/2022 18:00:17
23169;Gasolio;1.499;1;12/01/2022 17:38:33
23169;Benzina;1.639;1;12/01/2022 17:38:33
11521;HiQ Perform+;1.429;1;24/03/2022 01:14:08
43189;Benzina;1.589;0;24/01/2022 08:55:45
43189;Gasolio;1.499;0;24/01/2022 08:55:45
43952;Metano;0.998;0;30/09/2021 23:00:37
18745;Gasolio Premium;1.000;1;12/03/2022 17:22:08
10876;GPL;0.619;0;09/03/2022 09:00:38
5024;Gasolio Gelo;1.679;0;23/03/2022 14:06:15
5024;Gasolio Gelo;1.679;1;23/03/2022 14:06:15
39703;Gasolio Gelo;1.589;1;24/03/2022 07:02:10
27518;Gasolio artico;1.469;1;22/03/2022 17:40:54
27518;Gasolio artico;1.469;0;22/03/2022 17:40:54
35824;Gasolio Gelo;1.619;0;23/03/2022 17:02:21
35824;Gasolio Gelo;1.619;1;23/03/2022 17:02:21
33807;Blue Super;1.801;0;23/02/2022 07:14:41
33807;Blue Super;1.649;1;23/02/2022 07:14:41
35748;Benzina WR 100;1.699;0;24/03/2022 07:40:15
35748;Benzina WR 100;1.699;1;24/03/2022 07:40:15
18211;GPL;0.609;0;23/03/2022 09:58:13
43569;Benzina;1.911;0;23/03/2022 23:05:53
43569;Gasolio;1.909;0;23/03/2022 23:05:53
8820;Blue Super;1.859;0;23/03/2022 19:58:28
40179;Gasolio;1.629;0;23/03/2022 23:05:32
40180;Benzina;1.629;0;23/03/2022 23:05:41
40179;Benzina;1.709;0;23/03/2022 23:05:32
40180;Gasolio;1.599;0;23/03/2022 23:05:41
43638;Benzina;1.956;0;23/03/2022 23:06:02
43638;Gasolio;1.863;0;23/03/2022 23:06:02
27187;Gasolio;1.599;0;23/03/2022 18:16:07
27187;Benzina;1.669;0;23/03/2022 18:16:07
38782;Gasolio Gelo;1.610;0;24/03/2022 07:56:17
38782;Gasolio Gelo;1.610;1;24/03/2022 07:56:17
28071;Blue Super;1.569;1;24/03/2022 00:08:16
7272;Gasolio artico;1.499;1;22/03/2022 20:09:46
28071;Blue Super;1.764;0;24/03/2022 00:08:16
43922;Benzina;1.519;0;21/03/2022 16:18:22
43922;Gasolio;1.419;0;21/03/2022 16:18:22
43899;Supreme Diesel;1.639;1;23/03/2022 19:14:04
11693;HiQ Perform+;1.949;1;24/03/2022 07:08:18
40263;Gasolio Gelo;1.619;1;23/03/2022 10:12:22
18746;Gasolio;1.849;0;23/03/2022 16:34:05
18746;Benzina;1.939;0;23/03/2022 16:34:05
45501;HiQ Perform+;1.899;1;23/03/2022 09:55:23
45501;HiQ Perform+;2.099;0;23/03/2022 09:55:23
45503;HiQ Perform+;1.899;1;22/03/2022 17:20:26
45503;HiQ Perform+;2.099;0;22/03/2022 17:20:26
44817;Excellium Diesel;1.579;1;22/03/2022 16:05:25
13337;Gasolio Gelo;1.629;0;23/03/2022 19:18:09
13337;Gasolio Gelo;1.629;1;23/03/2022 19:18:09
17323;Gasolio Gelo;1.649;0;24/03/2022 07:40:17
17323;Gasolio Gelo;1.649;1;24/03/2022 07:40:17
29837;Blue Diesel;1.834;0;24/03/2022 07:38:10
29837;Blue Diesel;1.534;1;24/03/2022 07:38:10
41125;Benzina;1.549;1;22/03/2022 22:25:22
41125;Gasolio;1.449;1;22/03/2022 22:25:22
43200;Gasolio;1.449;0;23/03/2022 14:55:23
43200;Benzina;1.539;0;23/03/2022 14:55:23
38628;Gasolio Premium;1.679;0;19/03/2022 20:35:54
38628;Gasolio Premium;1.589;1;19/03/2022 20:35:54
3810;Blue Diesel;1.831;1;23/03/2022 14:30:10
3810;Blue Diesel;1.931;0;23/03/2022 14:30:10
45425;Benzina;1.689;1;21/03/2022 11:48:54
45425;Gasolio;1.609;1;21/03/2022 11:48:54
41156;Blue Super;1.889;0;22/03/2022 14:40:44
41156;Blue Super;1.749;1;22/03/2022 14:40:44
4726;Benzina WR 100;1.939;0;16/11/2021 11:06:10
4726;Benzina WR 100;1.939;1;16/11/2021 11:06:10
6559;Hi-Q Diesel;1.849;1;22/03/2022 17:35:00
45869;Excellium Diesel;1.111;1;29/01/2022 07:23:29
45869;Excellium Diesel;1.111;0;29/01/2022 07:23:29
18295;Benzina WR 100;1.929;0;23/03/2022 15:12:12
44915;GPL;0.589;1;23/03/2022 18:29:51
43431;Diesel e+10;1.659;0;21/09/2021 07:00:29
43431;Diesel e+10;1.579;1;21/09/2021 07:00:29
44205;Gasolio Oro Diesel;0.001;1;11/03/2022 19:06:23
44808;Benzina;1.727;0;23/03/2022 12:50:28
44808;Gasolio;1.617;0;23/03/2022 12:50:28
28053;Gasolio;1.699;0;07/01/2022 09:12:15
24207;Benzina;1.669;0;23/03/2022 15:14:22
45047;Benzina;1.519;0;23/03/2022 11:32:19
24207;Gasolio;1.549;0;23/03/2022 15:14:22
45047;Gasolio;1.429;0;23/03/2022 11:32:19
44808;Benzina WR 100;1.847;0;23/03/2022 12:50:28
47232;Excellium Diesel;1.689;0;11/03/2022 17:37:28
47232;Excellium Diesel;1.529;1;11/03/2022 17:37:28
26424;Benzina;1.548;0;23/03/2022 15:12:14
26424;Gasolio;1.408;0;23/03/2022 15:12:14
39951;Benzina;1.518;0;23/03/2022 15:16:22
39951;Gasolio;1.408;0;23/03/2022 15:16:22
39951;Gasolio speciale;1.528;0;23/03/2022 15:16:22
11726;Benzina;1.609;1;03/10/2021 23:04:01
11726;Gasolio;1.509;1;03/10/2021 23:04:01
11726;Hi-Q Diesel;1.759;1;03/10/2021 23:04:01
11726;HiQ Perform+;1.859;1;03/10/2021 23:04:01
38965;Hi-Q Diesel;1.999;0;22/03/2022 15:45:49
